Dependent Variable,Factor,Categories,Odds Ratio (95% CI),p-value
Q28_A1 (n = 10681),Age,16–17,1.82 (1.28–2.59),0.00
Q28_A1 (n = 10681),Age,18–24,1.00 (ref),
Q28_A1 (n = 10681),Age,25–34,0.79 (0.68–0.91),0.00
Q28_A1 (n = 10681),Age,35–44,0.70 (0.61–0.81),0.00
Q28_A1 (n = 10681),Age,45–54,0.58 (0.50–0.67),0.00
Q28_A1 (n = 10681),Age,55–64,0.42 (0.36–0.48),0.00
Q28_A1 (n = 10681),Age,65–74,0.30 (0.26–0.35),0.00
Q28_A1 (n = 10681),Age,75+,0.20 (0.17–0.24),0.00
Q28_A1 (n = 10681),Gender,male,1.00 (ref),
Q28_A1 (n = 10681),Gender,female,0.76 (0.71–0.82),0.00
Q28_A1 (n = 10681),Gender,other,1.70 (1.26–2.30),0.00
Q28_A1 (n = 10681),Income,<$40k,1.00 (ref),
Q28_A1 (n = 10681),Income,"$40–59,999",0.94 (0.83–1.06),0.30
Q28_A1 (n = 10681),Income,"$60–79,999",0.90 (0.80–1.02),0.10
Q28_A1 (n = 10681),Income,"$80–99,999",0.91 (0.80–1.03),0.12
Q28_A1 (n = 10681),Income,"$100–149,999",1.05 (0.94–1.17),0.41
Q28_A1 (n = 10681),Income,$150k+,1.26 (1.11–1.43),0.00
Q28_A1 (n = 10681),Education,No certificate,1.00 (ref),
Q28_A1 (n = 10681),Education,High school,1.34 (1.08–1.66),0.01
Q28_A1 (n = 10681),Education,Apprenticeship/Trades,1.27 (1.00–1.61),0.05
Q28_A1 (n = 10681),Education,College/CEGEP,1.56 (1.26–1.94),0.00
Q28_A1 (n = 10681),Education,University < bachelor,1.54 (1.20–1.97),0.00
Q28_A1 (n = 10681),Education,Bachelor,1.99 (1.60–2.47),0.00
Q28_A1 (n = 10681),Education,Graduate+,2.35 (1.87–2.95),0.00
Q28_A2 (n = 10485),Age,16–17,0.66 (0.47–0.91),0.01
Q28_A2 (n = 10485),Age,18–24,1.00 (ref),
Q28_A2 (n = 10485),Age,25–34,0.70 (0.61–0.81),0.00
Q28_A2 (n = 10485),Age,35–44,0.54 (0.47–0.62),0.00
Q28_A2 (n = 10485),Age,45–54,0.47 (0.40–0.54),0.00
Q28_A2 (n = 10485),Age,55–64,0.33 (0.29–0.38),0.00
Q28_A2 (n = 10485),Age,65–74,0.27 (0.24–0.32),0.00
Q28_A2 (n = 10485),Age,75+,0.21 (0.18–0.24),0.00
Q28_A2 (n = 10485),Gender,male,1.00 (ref),
Q28_A2 (n = 10485),Gender,female,0.73 (0.68–0.78),0.00
Q28_A2 (n = 10485),Gender,other,0.87 (0.65–1.16),0.34
Q28_A2 (n = 10485),Income,<$40k,1.00 (ref),
Q28_A2 (n = 10485),Income,"$40–59,999",1.01 (0.89–1.13),0.93
Q28_A2 (n = 10485),Income,"$60–79,999",0.92 (0.82–1.04),0.20
Q28_A2 (n = 10485),Income,"$80–99,999",0.91 (0.80–1.03),0.13
Q28_A2 (n = 10485),Income,"$100–149,999",0.85 (0.76–0.95),0.00
Q28_A2 (n = 10485),Income,$150k+,0.93 (0.82–1.06),0.27
Q28_A2 (n = 10485),Education,No certificate,1.00 (ref),
Q28_A2 (n = 10485),Education,High school,0.96 (0.77–1.20),0.72
Q28_A2 (n = 10485),Education,Apprenticeship/Trades,1.06 (0.83–1.36),0.61
Q28_A2 (n = 10485),Education,College/CEGEP,1.20 (0.96–1.50),0.10
Q28_A2 (n = 10485),Education,University < bachelor,1.40 (1.09–1.79),0.01
Q28_A2 (n = 10485),Education,Bachelor,1.34 (1.08–1.67),0.01
Q28_A2 (n = 10485),Education,Graduate+,1.79 (1.42–2.25),0.00
Q28_A3 (n = 10432),Age,16–17,0.97 (0.70–1.35),0.87
Q28_A3 (n = 10432),Age,18–24,1.00 (ref),
Q28_A3 (n = 10432),Age,25–34,0.92 (0.80–1.06),0.27
Q28_A3 (n = 10432),Age,35–44,0.77 (0.67–0.88),0.00
Q28_A3 (n = 10432),Age,45–54,0.68 (0.59–0.78),0.00
Q28_A3 (n = 10432),Age,55–64,0.63 (0.55–0.72),0.00
Q28_A3 (n = 10432),Age,65–74,0.69 (0.59–0.80),0.00
Q28_A3 (n = 10432),Age,75+,0.64 (0.54–0.75),0.00
Q28_A3 (n = 10432),Gender,male,1.00 (ref),
Q28_A3 (n = 10432),Gender,female,0.72 (0.67–0.77),0.00
Q28_A3 (n = 10432),Gender,other,0.64 (0.47–0.86),0.00
Q28_A3 (n = 10432),Income,<$40k,1.00 (ref),
Q28_A3 (n = 10432),Income,"$40–59,999",1.07 (0.95–1.20),0.29
Q28_A3 (n = 10432),Income,"$60–79,999",1.02 (0.91–1.16),0.71
Q28_A3 (n = 10432),Income,"$80–99,999",1.05 (0.93–1.19),0.41
Q28_A3 (n = 10432),Income,"$100–149,999",1.03 (0.92–1.16),0.60
Q28_A3 (n = 10432),Income,$150k+,1.29 (1.14–1.46),0.00
Q28_A3 (n = 10432),Education,No certificate,1.00 (ref),
Q28_A3 (n = 10432),Education,High school,0.87 (0.70–1.07),0.19
Q28_A3 (n = 10432),Education,Apprenticeship/Trades,0.90 (0.71–1.14),0.36
Q28_A3 (n = 10432),Education,College/CEGEP,1.07 (0.86–1.32),0.55
