q40_o,q41_o,q42_o,q43_o,age5,gender,education,income
3,3,3,3,25–34 years,male,University degree,"$80,000-$99,000"
3,4,4,3,35–44 years,male,College/CEGEP,"$100,000-$149,999"
2,2,2,2,35–44 years,female,University degree,"$25,000-$49,999"
4,1,2,1,55+ years,male,University degree,"$100,000-$149,999"
3,4,4,4,16–24 years,male,University degree,"$100,000-$149,999"
3,4,3,4,25–34 years,female,PhD,"$50,000-$79,999"
2,3,3,3,55+ years,female,University degree,"$100,000-$149,999"
4,3,4,3,16–24 years,male,University degree,"$80,000-$99,000"
3,2,3,NA,25–34 years,female,College/CEGEP,"$25,000-$49,999"
3,NA,3,3,16–24 years,female,Highschool,"$25,000-$49,999"
2,3,3,3,16–24 years,female,Highschool,"$50,000-$79,999"
1,3,3,3,35–44 years,male,Masters,"$25,000-$49,999"
3,4,4,3,35–44 years,male,University degree,"$100,000-$149,999"
1,3,3,3,55+ years,female,Highschool,"< $24,999"
3,4,4,4,45–54 years,female,College/CEGEP,"$150,000-$249,999"
2,3,3,3,25–34 years,male,University degree,"< $24,999"
2,3,4,4,55+ years,male,University degree,"$80,000-$99,000"
4,3,3,3,35–44 years,male,Apprenticeship/Trades,"$100,000-$149,999"
2,2,3,2,35–44 years,female,College/CEGEP,"$80,000-$99,000"
1,NA,3,3,55+ years,male,Apprenticeship/Trades,"$25,000-$49,999"
3,3,2,1,25–34 years,female,University degree,"$100,000-$149,999"
3,3,3,2,16–24 years,male,Highschool,"$25,000-$49,999"
3,3,2,2,55+ years,female,University degree,"$25,000-$49,999"
3,2,2,1,35–44 years,female,Masters,"$150,000-$249,999"
3,3,4,3,25–34 years,male,Highschool,"$50,000-$79,999"
2,1,1,1,45–54 years,male,Highschool,"$50,000-$79,999"
2,3,3,2,55+ years,female,College/CEGEP,"$50,000-$79,999"
2,3,3,2,45–54 years,male,College/CEGEP,"$50,000-$79,999"
2,3,4,2,25–34 years,male,Masters,"$50,000-$79,999"
3,4,4,2,25–34 years,female,University degree,"$25,000-$49,999"
2,3,3,3,35–44 years,male,University degree,"$25,000-$49,999"
1,2,4,3,55+ years,male,Highschool,"$25,000-$49,999"
3,3,NA,NA,35–44 years,female,Highschool,"$50,000-$79,999"
2,2,2,2,35–44 years,male,College/CEGEP,"$80,000-$99,000"
2,NA,3,3,16–24 years,female,Highschool,"$25,000-$49,999"
