q40_un_o,q41_un_o,q42_un_o,q43_un_o,age5,gender,education,income
3,1,2,1,55–64 years,female,Secondary (high) school diploma or equivalency certificate,"$50,000-$60,000"
1,2,2,2,55–64 years,male,"University certificate, diploma or degree at bachelor level or above","< $50,000"
2,2,3,3,55–64 years,female,Apprenticeship or trades certificate or diploma,"$50,000-$60,000"
3,2,2,1,55–64 years,male,"College, CEGEP or other non-university certificate or diploma","< $50,000"
1,3,3,3,55–64 years,male,Secondary (high) school diploma or equivalency certificate,"< $50,000"
2,2,2,NA,55–64 years,male,Apprenticeship or trades certificate or diploma,"< $50,000"
2,2,NA,NA,55–64 years,female,Secondary (high) school diploma or equivalency certificate,"$80,000-$90,000"
2,2,NA,1,45–54 years,male,"College, CEGEP or other non-university certificate or diploma","$60,000-$70,000"
3,3,4,4,35–44 years,female,"College, CEGEP or other non-university certificate or diploma","< $50,000"
2,2,2,2,45–54 years,male,"University certificate, diploma or degree at bachelor level or above","$70,000-$80,000"
3,3,3,2,35–44 years,female,Apprenticeship or trades certificate or diploma,"< $50,000"
3,NA,NA,NA,16–24 years,female,"No certificate, diploma or degree","< $50,000"
2,2,2,2,25–34 years,female,"University certificate, diploma or degree at bachelor level or above","$70,000-$80,000"
3,2,1,1,35–44 years,male,"University certificate, diploma or degree at bachelor level or above","$100,000-$150,000"
2,2,2,1,35–44 years,female,"University certificate, diploma or degree at bachelor level or above","$50,000-$60,000"
1,3,NA,NA,35–44 years,female,"College, CEGEP or other non-university certificate or diploma",">$150,000"
3,2,2,2,45–54 years,male,Secondary (high) school diploma or equivalency certificate,"< $50,000"
3,2,4,4,55–64 years,male,"University certificate, diploma or degree at bachelor level or above","$70,000-$80,000"
3,4,4,4,55–64 years,male,University certificate or diploma below bachelor level,">$150,000"
2,2,NA,2,35–44 years,female,"College, CEGEP or other non-university certificate or diploma","$70,000-$80,000"
3,2,2,2,35–44 years,female,University certificate or diploma below bachelor level,"$100,000-$150,000"
2,3,3,3,25–34 years,male,"College, CEGEP or other non-university certificate or diploma",">$150,000"
3,3,3,3,55–64 years,male,Apprenticeship or trades certificate or diploma,"$50,000-$60,000"
2,3,3,3,55–64 years,female,"University certificate, diploma or degree at bachelor level or above","< $50,000"
1,3,2,2,35–44 years,female,"University certificate, diploma or degree at bachelor level or above",">$150,000"
2,3,3,3,55–64 years,male,"College, CEGEP or other non-university certificate or diploma","$70,000-$80,000"
2,2,3,3,55–64 years,male,"University certificate, diploma or degree at bachelor level or above","$70,000-$80,000"
1,1,3,1,35–44 years,male,"College, CEGEP or other non-university certificate or diploma","$60,000-$70,000"
3,4,4,4,16–24 years,female,"University certificate, diploma or degree at bachelor level or above",">$150,000"
2,3,2,2,35–44 years,female,University certificate or diploma below bachelor level,"$50,000-$60,000"
2,2,3,3,25–34 years,female,"University certificate, diploma or degree at bachelor level or above","$100,000-$150,000"
3,2,1,1,55–64 years,male,"College, CEGEP or other non-university certificate or diploma","< $50,000"
3,3,3,1,55–64 years,female,"University certificate, diploma or degree at bachelor level or above","$80,000-$90,000"
2,2,2,2,35–44 years,female,"University certificate, diploma or degree at bachelor level or above",">$150,000"
3,3,3,3,25–34 years,male,University certificate or diploma below bachelor level,"$50,000-$60,000"
2,3,1,4,55–64 years,male,"College, CEGEP or other non-university certificate or diploma","$60,000-$70,000"
2,2,3,1,45–54 years,female,Secondary (high) school diploma or equivalency certificate,"$50,000-$60,000"
2,2,2,1,35–44 years,female,"No certificate, diploma or degree","$80,000-$90,000"
2,3,3,3,45–54 years,male,Apprenticeship or trades certificate or diploma,"< $50,000"
1,2,2,2,55–64 years,female,Secondary (high) school diploma or equivalency certificate,"< $50,000"
